Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Mandarina,OwariSatsuma,CPB4475,52,4,FALSO,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,52,5,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,52,6,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,1,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,2,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,3,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,4,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,5,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,53,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,54,1,Verdadero,1,1,1,NA
Mandarina,M_Oneco,SxE,54,2,Verdadero,1,0,0,NA
Mandarina,M_Oneco,SxE,54,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,54,4,FALSO,NA,NA,NA,NA
Mandarina,M_Oneco,SxE,54,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,54,6,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,55,1,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,55,2,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,CPB4475,55,3,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,55,4,Verdadero,1,2,1,NA
Mandarina,M_Arrayana,CPB4475,55,5,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,55,6,Verdadero,0,NA,0,NA
Limón,Perrine,SxE,56,1,Verdadero,1,3,1,NA
Limón,Perrine,SxE,56,2,Verdadero,1,3,1,NA
Limón,Perrine,SxE,56,3,Verdadero,1,3,1,NA
Limón,Perrine,SxE,56,4,Verdadero,1,3,1,NA
Limón,Perrine,SxE,56,5,Verdadero,1,3,1,NA
Limón,Perrine,SxE,56,6,Verdadero,1,3,1,NA
Limón,Eureka,SxE,57,1,FALSO,NA,NA,NA,NA
Limón,Eureka,SxE,57,2,Verdadero,1,3,1,NA
Limón,Eureka,SxE,57,3,Verdadero,1,4,1,NA
Limón,Eureka,SxE,57,4,Verdadero,1,3,1,NA
Limón,Eureka,SxE,57,5,Verdadero,1,4,1,NA
Limón,Eureka,SxE,57,6,FALSO,NA,NA,NA,NA
Limón,L_Pajarito,SxE,58,1,Verdadero,1,4,1,NA
Limón,L_Pajarito,SxE,58,2,Verdadero,1,5,1,NA
Limón,L_Pajarito,SxE,58,3,Verdadero,1,4,1,NA
Limón,L_Pajarito,SxE,58,4,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,58,5,Verdadero,1,4,1,NA
